time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1 
6.0,8406.0,0.0,3241.079108891743,0.0,3241.079108891743,0.0,3241.079108891743,1500.0,0.0,0.0,0.0
7.0,8407.0,0.0,3841.742418647742,0.0,3841.742418647742,0.0,3841.742418647742,1500.0,0.0,0.0,0.0
8.0,8408.0,0.0,5906.522545933987,0.0,5906.522545933987,0.0,5906.522545933987,1500.0,0.0,0.0,0.0
9.0,8409.0,325.78870679040006,5368.428330944238,0.0,3739.4847969922375,325.78870679040006,5042.639624153838,1500.0,0.0,0.0,0.0
10.0,8410.0,798.7563865344,5005.52758129999,0.0,1011.7456486279898,798.7563865344,4206.77119476559,1500.0,0.0,0.0,0.0
11.0,8411.0,1597.6466634240005,4329.78135782449,0.0,0.0,1597.6466634240005,2732.13469440049,1500.0,0.0,0.0,0.0
12.0,8412.0,1552.3917233664001,6957.683338006986,0.0,0.0,1552.3917233664001,5405.291614640586,1500.0,0.0,0.0,0.0
13.0,8413.0,1757.8464734208,8421.800155537232,0.0,0.0,1757.8464734208,6663.953682116432,1500.0,0.0,0.0,0.0
14.0,8414.0,1649.3283405312004,8284.148147051483,0.0,37.506444395481594,1649.3283405312004,6634.819806520282,1500.0,0.0,0.0,0.0
15.0,8415.0,1267.2722119680002,5681.273804775487,0.0,0.0,1267.2722119680002,4414.001592807487,1500.0,0.0,0.0,0.0
16.0,8416.0,421.5537833472,6269.423295578237,0.0,4161.654378842237,421.5537833472,5847.869512231037,1500.0,0.0,0.0,0.0
17.0,8417.0,0.0,4842.84793490774,0.0,4842.84793490774,0.0,4842.84793490774,1500.0,0.0,0.0,0.0
18.0,8418.0,0.0,5255.8039603649895,0.0,5255.8039603649895,0.0,5255.8039603649895,1500.0,0.0,0.0,0.0
19.0,8419.0,0.0,6331.992390344487,0.0,6331.992390344487,0.0,6331.992390344487,1500.0,0.0,0.0,0.0
20.0,8420.0,0.0,10661.773748168978,0.0,10661.773748168978,0.0,10661.773748168978,1500.0,0.0,0.0,0.0
21.0,8421.0,0.0,7408.180820323984,0.0,7408.180820323984,0.0,7408.180820323984,1500.0,0.0,0.0,0.0
22.0,8422.0,0.0,6219.368019765237,0.0,6219.368019765237,0.0,6219.368019765237,1500.0,0.0,0.0,0.0
23.0,8423.0,0.0,5393.455968850739,0.0,5393.455968850739,0.0,5393.455968850739,1500.0,0.0,0.0,0.0
24.0,8424.0,0.0,4379.836633637491,0.0,4379.836633637491,0.0,4379.836633637491,1500.0,0.0,0.0,0.0
1.0,8425.0,0.0,4492.461004216741,0.0,4492.461004216741,0.0,4492.461004216741,1500.0,0.0,0.0,0.0
