time_day,hour,generation_pv,consumption,surplus,grid consumption,use_power_pv1,use_power_grid1,battery_stat1,en_battery_grid1,en_battery_pv1,en_dump1
5.0,4349.0,0.0,2502.763790649995,0.0,2502.763790649995,0.0,905.5275812999898,1500.0,0.0,0.0,0.0
6.0,4350.0,168.039775232,2490.2499716967445,0.0,1650.0510955367445,168.039775232,2322.2101964647445,1500.0,0.0,0.0,0.0
7.0,4351.0,702.212818944,2577.8467043694945,0.0,0.0,702.212818944,1875.6338854254946,1500.0,0.0,0.0,0.0
8.0,4352.0,1372.6650828800002,3829.228599694492,0.0,0.0,1372.6650828800002,2456.563516814492,1500.0,0.0,0.0,0.0
9.0,4353.0,1882.8420065280004,6031.660735466488,0.0,0.0,1882.8420065280004,4148.818728938488,1500.0,0.0,0.0,0.0
10.0,4354.0,2549.8471290880007,6669.865502082235,0.0,0.0,2549.8471290880007,4120.018372994235,1500.0,0.0,0.0,0.0
11.0,4355.0,2989.742529536001,5643.7323479157385,0.0,0.0,2989.742529536001,2653.9898183797377,1500.0,0.0,0.0,0.0
12.0,4356.0,3116.9186191360004,5093.12431397274,0.0,0.0,3116.9186191360004,1976.20569483674,1500.0,0.0,0.0,0.0
13.0,4357.0,3271.4041006080006,10912.050127233975,0.0,0.0,3271.4041006080006,7640.646026625975,1500.0,0.0,0.0,0.0
14.0,4358.0,3135.7272934400007,13652.57647799572,0.0,0.0,3135.7272934400007,10516.84918455572,1500.0,0.0,0.0,0.0
15.0,4359.0,2773.8109163520003,9685.69586981548,0.0,0.0,2773.8109163520003,6911.884953463479,1500.0,0.0,0.0,0.0
16.0,4360.0,2261.190873088,6569.754950456237,0.0,0.0,2261.190873088,4308.564077368237,1500.0,0.0,0.0,0.0
17.0,4361.0,1637.2248166400004,7908.733578453984,0.0,0.0,1637.2248166400004,6271.508761813983,1500.0,0.0,0.0,0.0
18.0,4362.0,986.886455296,7783.595388921483,0.0,2849.1631124414835,986.886455296,6796.708933625483,1500.0,0.0,0.0,0.0
19.0,4363.0,391.367682048,7045.280070679735,0.0,5088.441660439736,391.367682048,6653.912388631736,1500.0,0.0,0.0,0.0
